WGS_ID,PEN,TET,SPCTINO,CFX,CRO,CIPRO,AZI,YEAR,ArrayExpress_Species,AssemblyName,AvgSpotLen,BioSample,Experiment,InsertSize,Instrument,Library_Name,LoadDate,MBases,MBytes,Organism,ReleaseDate,Run,SRA_Sample,Sample_Name,Assay_Type,BioProject,Center_Name,Consent,LibraryLayout,LibrarySelection,LibrarySource,Platform,SRA_Study
GCGS0001,4,4,1,0.25,0.125,16,1,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690394,ERX166419,236,Illumina HiSeq 2000,5652068,1/23/13,438,218,Neisseria gonorrhoeae,1/21/13,ERR191730,ERS135535,GCGS001-sc-2012-05-03T12:11:09Z-1410503,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
GCGS0002,1,4,1,0.015,0.03,16,1,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690350,ERX166420,236,Illumina HiSeq 2000,5652069,1/23/13,679,336,Neisseria gonorrhoeae,1/21/13,ERR191731,ERS135205,GCGS002-sc-2012-05-03T12:00:57Z-1410504,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
GCGS0003,4,4,1,0.25,0.125,16,1,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690469,ERX166421,236,Illumina HiSeq 2000,5652070,1/23/13,345,171,Neisseria gonorrhoeae,1/21/13,ERR191732,ERS135206,GCGS003-sc-2012-05-03T12:00:58Z-1410505,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
GCGS0004,2,4,1,0.015,0.03,16,1,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690372,ERX166422,236,Illumina HiSeq 2000,5652071,1/23/13,349,172,Neisseria gonorrhoeae,1/21/13,ERR191733,ERS135536,GCGS004-sc-2012-05-03T12:11:10Z-1410506,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
GCGS0005,4,4,1,0.5,0.06,16,1,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690501,ERX166423,236,Illumina HiSeq 2000,5652072,1/23/13,386,192,Neisseria gonorrhoeae,1/21/13,ERR191734,ERS135208,GCGS005-sc-2012-05-03T12:01:01Z-1410507,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
GCGS0006,2,1,1,0.015,0.03,8,1,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690435,ERX166424,236,Illumina HiSeq 2000,5652073,1/23/13,568,281,Neisseria gonorrhoeae,1/21/13,ERR191735,ERS135209,GCGS006-sc-2012-05-03T12:01:01Z-1410508,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
GCGS0007,2,2,1,0.25,0.06,16,0.5,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690387,ERX166425,236,Illumina HiSeq 2000,5652074,1/23/13,479,243,Neisseria gonorrhoeae,1/21/13,ERR191736,ERS135646,GCGS007-sc-2012-05-03T12:16:14Z-1410509,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
GCGS0008,0.5,16,1,0.015,0.008,1,0.25,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690356,ERX166426,236,Illumina HiSeq 2000,5652075,1/23/13,557,276,Neisseria gonorrhoeae,1/21/13,ERR191737,ERS135211,GCGS008-sc-2012-05-03T12:01:03Z-1410510,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
GCGS0009,1,2,1,0.063,0.032,0.004,0.25,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690379,ERX166427,236,Illumina HiSeq 2000,5652076,1/23/13,350,175,Neisseria gonorrhoeae,1/21/13,ERR191738,ERS135212,GCGS009-sc-2012-05-03T12:01:04Z-1410511,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
GCGS0010,0.25,0.5,1,0.015,0.015,0.015,0.5,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690468,ERX166428,236,Illumina HiSeq 2000,5652077,1/23/13,374,183,Neisseria gonorrhoeae,1/21/13,ERR191739,ERS135538,GCGS010-sc-2012-05-03T12:11:11Z-1410512,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
